Word,Pronunciation
ยอดเงิน,jɔːtŋɤn
การสยิว,kaːnsajiw
แฟบ,fɛːb
โคเบะ,kʰoːbeʔ
มารดา,maːndaː
เขมือบ,kʰeːmɯːɔːb
คุ,kʰuʔ
เลือน,lɯːa̯n
เชิงกราน,t͡ɕʰɤŋkraːn
ไหน,hajnaʔ
ความกด,kʰwaːmkot
วจีกรรม,wat͡ɕiːkrarom
โคคาอีน,kʰoːkʰaːʔiːn
การคำนวณ,kaːnkʰamnawon
กง,koŋ
ชีวิตชีวา,t͡ɕʰiːwitt͡ɕʰiːwaː
ปทุมุตร,patʰumuton
กระแทก,kratʰɛːk
จาง,t͡ɕaːŋ
ธิดา,tʰidaː
มหาสารคาม,mahaːsaːnkʰaːm
กูด,kuːt
การเกรียน,kaːnkeːriːjon
การเสือก,kaːnsɯːa̯k
นักบุญ,nakbuj
มังงะ,maŋŋaʔ
สุก,suk
ธูป,tʰuːp
เสียม,siːa̯m
พระยาประเทศราช,pʰrajaːpratʰeːtraːt
อาคม,ʔaːkʰom
หัวนม,huːa̯nom
พิบัติ,pʰibatiʔ
กุฏิ,kutiʔ
เสมหะ,seːmhaʔ
เดโช,deːt͡ɕʰoː
รอก,rɔːk
เซเนกัล,seːneːkan
ภารกิจ,pʰaːnkit
โภชนาการ,pʰoːtnaːkaːn
พาด,pʰaːt
นายแบบ,naːjbɛːb
สปา,sapaː
รูบิเดียม,ruːbidiːa̯m
ปัด,pat
อัตตาธิปไตย,ʔattaːtʰiptaj
ปัญหาโลกแตก,pajhaːloːktɛːk
กรีซ,kriːt
ภาพ,pʰaːp
ปากกาเมจิก,paːkkaːmeːt͡ɕik
จรวด,t͡ɕonwot
จัดแจง,t͡ɕatt͡ɕɛːŋ
ริดสีดวงทวาร,ritsiːdowŋatʰawaːn
พูน,pʰuːn
โยโกฮามะ,joːkoːhaːmaʔ
กราฟ,kraːf
วิศวกรรม,witwakonrom
เฟก,feːk
เกียวโต,kiːa̯wtoː
ชล,t͡ɕʰon
เบงกอล,beːŋkɔːn
สัมภเวสี,sampʰaweːsiː
หวย,hawoj
กติกา,katikaː
เฮช,heːt
จาวา,t͡ɕaːwaː
อินทรี,ʔintʰriː
การโจมตี,kaːnt͡ɕoːmatiː
กุนศก,kunsok
หมากฮอส,hamaːkhɔːt
บุ,buʔ
ลึกลับ,lɯklab
เชฟ,t͡ɕʰeːf
พริชตีนา,pʰrittiːnaː
ฤ,rʉ
เงิบ,ŋɤb
เทนนิส,tʰeːnnit
นวัตกรรม,nawatkrarom
แข,kʰɛː
เมษ,meːt
ปทุมธานี,patʰumtʰaːniː
โองการ,ʔoːŋkaːn
โทโส,tʰoːsoː
นะ,naʔ
ประชาบดี,prat͡ɕʰaːbdiː
ชิง,t͡ɕʰiŋ
เทพธิดา,tʰeːptʰidaː
การลงแขก,kaːnlaŋakʰɛːk
ละเมอ,lamɤː
ทะเลแดง,tʰaleːdɛːŋ
เปลือกหอย,peːlɯːɔːkhɔːj
อดทน,ɔːttʰon
ยี,jiː
ดินประสิว,dinprasiw
ละหมาด,lahmaːt
พริกดอง,pʰrikdɔːŋ
เสือ,sɯːa̯
โวยวาย,woːjwaːj
สังขยา,saŋkʰajaː
แดนสนธยา,dɛːnsanotjaː
กองทัพมด,kɔːŋtʰapʰamot
คูณ,kʰuːn
ความหูเบา,kʰwaːmhuːbeːaː
พิชิต,pʰit͡ɕʰit
ความปรารถนา,kʰwaːmpraːntʰanaː
สิทธัตถ,sittʰatot
อะหิวาตะกะโรค,ʔahiwaːtakaroːk
เบญจศก,beːjt͡ɕasok
คลำ,kʰlam
กษีร,kasiːn
หนี,haniː
โอฐ,ʔoːt
รำงับ,ramŋab
ระกา,rakaː
นาฏ,naːt
คูเมือง,kʰuːmɯːa̯ŋ
ซีเรีย,siːriːa̯
พรหมลิขิต,pʰonhamalikʰit
มันนิ,manniʔ
เครียด,kʰeːriːjot
หวง,hawoŋ
หนังสือ,hanaŋsɯːɔː
ประทัง,pratʰaŋ
อุตสาหกรรม,ʔutsaːhokrarom
ษ,saʔ
คะตะคะนะ,kʰatakʰanaʔ
ยกเมฆ,jokmeːk
ประหาร,prahaːn
อุปัชฌายะ,ʔupatt͡ɕʰaːjaʔ
การซัดทอด,kaːnsadatʰɔːt
หมอฟัน,hamɔːfan
การเสย,kaːnseːj
ธุลี,tʰuliː
ผาก,pʰaːk
มอดูล,mɔːduːn
เพรียง,pʰeːriːjoŋ
ภาษาโปรแกรม,pʰaːsaːpoːnkɛːrom
เทวาธิปไตย,tʰeːwaːtʰiptaj
ภัณฑ,pʰanot
มกรา,mokraː
มลภาวะ,monpʰaːwaʔ
ความสำคัญ,kʰwaːmsamkʰaj
บราซิล,baraːsin
การเลือกปฏิบัติ,kaːnlɯːa̯koptibatiʔ
สมชาย,somt͡ɕʰaːj
กระดังงา,kradaŋŋaː
สุกร,sukon
การสังเกต,kaːnsaŋakeːt
แซ,sɛː
ไมโครเวฟ,majkʰoːnweːf
สาธารณรัฐ,saːtʰaːnnarat
เพชรบุรี,pʰeːtraburiː
เขน,kʰeːn
แหน,hɛːn
คอ,kʰɔː
ดาบปลายปืน,daːbplaːjpɯːn
สมมาตร,sommaːton
การควง,kaːnkʰwoŋ
ทาสี,tʰaːsiː
รด,rot
ทอ,tʰɔː
ลพบุรี,lopburiː
ยืม,jɯːm
ใจพระ,t͡ɕajpʰraʔ
เกษตรกรรม,keːttrokrarom
เรียว,riːa̯w
อารบิก,ʔaːnbik
ทางขวา,tʰaːŋkʰwaː
สิบสอง,sibsɔːŋ
รายละเอียด,raːjlaʔiːa̯t
การผูกพัน,kaːnpʰuːkapʰan
ความพยายาม,kʰwaːmpʰajaːjaːm
อำนาจเจริญ,ɔːamnaːtt͡ɕeːrij
บิบิมบับ,bibimbab
สุภาพสตรี,supʰaːpsotriː
การตลาด,kaːntalaːt
การโกงกิน,kaːnkoːŋakin
บรรพภาค,bonrapʰapʰaːk
เประ,peːraʔ
โพแทสเซียม,pʰoːtʰɛːtsiːa̯m
อนิจภาพ,ɔːnitpʰaːp
สรรพนาม,sonrapʰanaːm
สันนิษฐาน,sannisatʰaːn
พัก,pʰak
หมึกสาย,hamɯksaːj
ยมฑูต,jomtʰuːt
คาบสมุทร,kʰaːbsamutʰon
วิโอลา,wiʔoːlaː
ฦ,ฦ
กานพลู,kaːnpʰluː
เกชา,keːt͡ɕʰaː
อวัยวะเพศหญิง,ɔːwajwapʰeːthajiŋ
ความสยิว,kʰwaːmsajiw
ขยุกขยิก,kʰajukkʰajik
สารระเหย,saːnraheːj
วิกิ,wikiʔ
เฮง,heːŋ
ความละอาย,kʰwaːmlaʔaːj
ชัก,t͡ɕʰak
มกุฎราชกุมาร,makutraːt͡ɕʰakumaːn
การสงสาร,kaːnsaŋasaːn
โขก,kʰoːk
ยางใน,jaːŋnaj
การหุง,kaːnhuŋ
ตรัส,trat
ฟักทองบด,faktʰɔːŋabot
ทรงรี,tʰonŋariː
ทุเรียน,tʰuriːa̯n
พัทยา,pʰatjaː
บุคลิก,buklik
ตราไปรษณียากร,traːpajrotniːjaːkon
เกือกแตะ,kɯːa̯ktɛʔ
ความทุจริต,kʰwaːmtʰut͡ɕarit
มึนเชิน,mɯnt͡ɕʰɤn
มันเลือดนก,manlɯːa̯danok
สมภพ,sompʰop
บังกะโล,baŋkaloː
ยโสธร,jasoːtʰon
การสมรสตามกฎหมาย,kaːnsamonsataːmkadohmaːj
